Forage: 29, 34, 29, 25, 24, 24, 22, 22, 24, 17
Forage: 33, 34, 27, 24, 25, 27, 18, 23, 21, 20
Forage: 32, 33, 24, 28, 25, 25, 21, 22, 20, 21
Forage: 31, 29, 28, 25, 28, 24, 27, 20, 28, 20
Forage: 32, 33, 30, 24, 23, 22, 21, 21, 24, 15
Forage: 30, 31, 29, 26, 27, 18, 22, 22, 21, 21
Forage: 32, 31, 27, 26, 25, 23, 25, 23, 22, 22
Forage: 29, 32, 30, 26, 25, 23, 23, 20, 20, 23
Forage: 29, 32, 27, 27, 25, 23, 24, 20, 18, 22
Forage: 28, 36, 27, 28, 23, 27, 25, 20, 20, 20
Forage: 31, 31, 28, 24, 22, 24, 25, 23, 22, 16
Forage: 30, 32, 29, 24, 22, 25, 24, 21, 21, 18
Forage: 35, 33, 26, 27, 24, 24, 21, 20, 26, 17
Forage: 33, 30, 34, 30, 23, 24, 22, 24, 23, 22
Forage: 35, 35, 30, 24, 28, 22, 24, 22, 18, 21
Forage: 31, 32, 30, 26, 23, 23, 21, 22, 17, 22
Forage: 35, 34, 27, 28, 24, 25, 20, 24, 23, 22
Forage: 33, 30, 24, 25, 24, 24, 25, 22, 22, 19
Forage: 30, 32, 30, 28, 26, 22, 21, 21, 24, 18
Forage: 29, 40, 26, 26, 25, 25, 17, 23, 18, 23
Forage: 34, 30, 33, 26, 28, 23, 23, 24, 18, 19
Forage: 27, 34, 29, 25, 28, 24, 24, 22, 17, 23
Forage: 31, 34, 30, 29, 26, 26, 21, 17, 26, 20
Forage: 28, 31, 30, 28, 22, 24, 25, 21, 23, 18
Forage: 34, 31, 27, 22, 25, 24, 22, 21, 22, 20
Forage: 28, 32, 28, 27, 24, 25, 17, 23, 24, 20
Forage: 29, 29, 28, 36, 23, 23, 26, 21, 22, 20
Forage: 34, 29, 26, 28, 23, 30, 18, 21, 20, 23
Forage: 34, 32, 33, 25, 22, 26, 21, 21, 22, 22
Forage: 29, 33, 28, 26, 26, 22, 23, 20, 23, 20
