tags_collected, collisions_in_seconds, time_in_minutes, random_seed
192, 118.062, 10, 280604
188, 107.875, 10, 533403
193, 114.906, 10, 836325
197, 115.812, 10, 67884
187, 126.641, 10, 992923
201, 123.984, 10, 21825
198, 113.359, 10, 950286
198, 107.156, 10, 991699
195, 134.688, 10, 49318
189, 111.203, 10, 18240
190, 120.766, 10, 71350
189, 109.234, 10, 121930
194, 126.859, 10, 134348
180, 142.812, 10, 142990
193, 116.844, 10, 161681
185, 121.5, 10, 127739
197, 137.516, 10, 264894
198, 125.875, 10, 236338
191, 100.094, 10, 224813
185, 126.797, 10, 174553
190, 125.375, 10, 102795
204, 121.969, 10, 140148
198, 134.344, 10, 297023
190, 130.688, 10, 281332
191, 115.906, 10, 343205
190, 119.453, 10, 777692
190, 127.25, 10, 906594
192, 138.172, 10, 68735
194, 128.766, 10, 455633
196, 118.438, 10, 509965
