tags_collected, collisions_in_seconds, time_in_minutes, random_seed
309, 142.422, 10, 672006
319, 168.031, 10, 456411
309, 164.359, 10, 500371
301, 147.172, 10, 737083
302, 145.531, 10, 487241
302, 167.297, 10, 757322
306, 165.172, 10, 981801
320, 171.188, 10, 600553
308, 140.797, 10, 988067
305, 162.875, 10, 232641
312, 156.547, 10, 745517
306, 151.406, 10, 984839
308, 158.172, 10, 429199
313, 152.719, 10, 994601
318, 193.016, 10, 97467
292, 140.297, 10, 397233
295, 165.594, 10, 655969
316, 165.672, 10, 338241
285, 162.484, 10, 987151
309, 173.297, 10, 649905
310, 143.984, 10, 579305
303, 163.984, 10, 712015
305, 148.922, 10, 744989
303, 156.922, 10, 819752
313, 154.469, 10, 277629
303, 152.5, 10, 380656
306, 159.469, 10, 589815
302, 164.062, 10, 996551
307, 161.906, 10, 482753
302, 148.594, 10, 298909
