tags_collected, collisions_in_seconds, time_in_minutes, random_seed
418, 89.7656, 10, 304304
392, 95.9688, 10, 607051
431, 85.4844, 10, 19025
415, 100.672, 10, 299088
417, 90.3906, 10, 980426
424, 101.328, 10, 398669
426, 76, 10, 692616
424, 83.1719, 10, 120702
412, 83.3906, 10, 918710
411, 96.1094, 10, 793529
415, 90.5312, 10, 519346
419, 84.7656, 10, 278181
414, 96.6562, 10, 552352
436, 89.3906, 10, 130437
431, 87.0938, 10, 810798
431, 80.4062, 10, 132170
431, 86.3906, 10, 765777
433, 80.4062, 10, 974089
434, 75, 10, 146465
413, 97.7031, 10, 347820
437, 81.8438, 10, 440520
406, 99.9688, 10, 551284
420, 93.375, 10, 571854
410, 94.1094, 10, 596462
412, 84.3438, 10, 933318
427, 91.4844, 10, 437235
409, 62.5781, 10, 191938
399, 87.5469, 10, 666519
431, 92.4062, 10, 878422
424, 84.0938, 10, 82122
