tags_collected, collisions_in_seconds, time_in_minutes, random_seed
456, 96.9844, 10, 388319
448, 117.234, 10, 820219
421, 118.734, 10, 158222
437, 105.062, 10, 336849
457, 110.516, 10, 275010
435, 112.859, 10, 164166
418, 109.859, 10, 213124
446, 107.875, 10, 289440
441, 108.969, 10, 574044
426, 113.5, 10, 729363
449, 105.203, 10, 735869
450, 103.469, 10, 777523
446, 96.375, 10, 683334
417, 119.828, 10, 853654
443, 90.6875, 10, 225518
454, 97.875, 10, 340580
431, 115.969, 10, 588705
446, 114.281, 10, 585930
437, 115.266, 10, 956046
438, 100.609, 10, 956793
451, 105.078, 10, 247666
460, 101.375, 10, 272917
432, 119.359, 10, 285604
442, 114.625, 10, 150339
436, 116.016, 10, 149111
425, 120.781, 10, 490951
414, 114.609, 10, 588901
452, 105.891, 10, 16428
428, 114.594, 10, 133576
444, 106.859, 10, 732886
