tags_collected, collisions_in_seconds, time_in_minutes, random_seed
30, 2544.73, 15, 658246
123, 2052.95, 15, 998333
88, 2102.31, 15, 124529
151, 2020.08, 15, 337818
82, 2129.42, 15, 597889
95, 2312.5, 15, 904159
72, 2121.83, 15, 334133
165, 2031.69, 15, 855101
92, 2312.91, 15, 276467
166, 1621.7, 15, 834348
68, 2487.52, 15, 301425
77, 2424.89, 15, 51455
136, 1674.56, 15, 421906
61, 1561.78, 15, 671512
140, 2113.66, 15, 764753
64, 1870.33, 15, 999718
70, 2148.53, 15, 105170
77, 2445.36, 15, 205154
140, 2149.75, 15, 590726
57, 1807.17, 15, 100635
125, 2877.38, 15, 664422
59, 2343.61, 15, 327027
84, 2000.59, 15, 397348
147, 2915.81, 15, 764852
67, 1876.45, 15, 372370
115, 1841.7, 15, 812015
90, 2119.2, 15, 226215
83, 1974.47, 15, 99401
156, 1630.05, 15, 472589
146, 2048.45, 15, 776472
89, 1954.72, 15, 233413
60, 1452.06, 15, 358866
29, 2302.27, 15, 112283
67, 2112, 15, 178081
126, 2033.44, 15, 66791
119, 2165.91, 15, 385671
158, 2636.62, 15, 554635
110, 1273, 15, 14346
75, 2745.36, 15, 595562
60, 2030.47, 15, 705882
99, 1541.38, 15, 351724
96, 2078.48, 15, 872136
112, 1986.38, 15, 172152
42, 1957.52, 15, 754365
158, 2331.97, 15, 706361
85, 2302.75, 15, 468419
18, 2309.78, 15, 250951
151, 2099.7, 15, 994905
90, 2342.39, 15, 352554
178, 2680.73, 15, 334494
