Forage: 48, 51, 47, 35, 38, 35, 30, 34, 28
Forage: 45, 42, 48, 38, 39, 38, 31, 27, 28
Forage: 46, 54, 43, 45, 36, 33, 32, 26, 35
Forage: 42, 49, 47, 43, 37, 38, 31, 27, 29
Forage: 51, 45, 49, 44, 39, 31, 33, 32, 30
Forage: 44, 52, 45, 44, 37, 36, 29, 32, 37
Forage: 44, 53, 45, 39, 40, 39, 38, 33
Forage: 44, 53, 43, 45, 39, 35, 30, 30, 28
Forage: 46, 48, 43, 38, 41, 32, 36, 25, 29
Forage: 48, 49, 45, 41, 38, 34, 33, 28, 27
Forage: 45, 52, 44, 37, 43, 34, 30, 33, 27
Forage: 47, 48, 49, 40, 39, 33, 34, 34, 25
Forage: 46, 46, 40, 43, 39, 33, 38, 32, 30
Forage: 45, 53, 48, 38, 41, 32, 35, 29, 32
Forage: 43, 54, 42, 44, 30, 37, 33, 30, 28
Forage: 49, 47, 41, 42, 37, 35, 36, 26, 35
Forage: 49, 51, 42, 43, 33, 40, 36, 27, 29
Forage: 47, 51, 40, 39, 33, 32, 30, 25, 29, 26
Forage: 40, 47, 49, 42, 42, 29, 31, 37, 26
Forage: 53, 43, 41, 39, 41, 35, 32, 28, 31
Forage: 51, 49, 45, 42, 36, 26, 41, 28, 30
Forage: 43, 51, 37, 38, 37, 39, 37, 26, 33
Forage: 49, 41, 44, 43, 29, 40, 32, 31, 34
Forage: 42, 48, 41, 42, 38, 35, 26, 29, 33
Forage: 53, 51, 43, 39, 33, 39, 38, 30, 30
Forage: 51, 45, 44, 41, 35, 37, 29, 29, 30
Forage: 46, 55, 43, 41, 39, 40, 28, 25, 23
Forage: 44, 52, 48, 43, 32, 32, 33, 32, 29
Forage: 41, 51, 42, 41, 35, 42, 32, 28, 31
Forage: 41, 48, 45, 40, 35, 32, 33, 30, 26, 26
