tags_collected, collisions_in_seconds, time_in_minutes, random_seed
234, 439.891, 30, 357263
254, 442.359, 30, 241102
255, 498.531, 29.55, 328216
210, 834.844, 30, 349034
254, 415.359, 30, 821524
224, 563.547, 30, 916451
224, 613.641, 30, 496369
255, 560.922, 30, 599381
242, 547.266, 30, 803887
239, 421.5, 30, 587762
247, 370.141, 30, 830995
250, 531.969, 30, 959216
232, 518.406, 30, 335893
255, 506.469, 24.1167, 643196
221, 376.156, 30, 676739
228, 550.844, 30, 358333
234, 525.938, 30, 515216
240, 606.391, 30, 129059
187, 510.219, 30, 452339
234, 459.328, 30, 691772
250, 440.953, 30, 849398
250, 494.906, 30, 938717
248, 489.359, 30, 894366
225, 509.922, 30, 619176
229, 409.406, 30, 904870
232, 479.766, 30, 906628
231, 393.859, 30, 517528
249, 514.422, 30, 354505
220, 451.016, 30, 876239
224, 465.109, 30, 682800
255, 977.266, 30, 45842
246, 590.188, 30, 229002
251, 515.422, 30, 782075
242, 389.859, 30, 369033
252, 620.531, 30, 341850
231, 617.562, 30, 566400
246, 536.172, 30, 997860
240, 497.797, 30, 545301
247, 496.953, 30, 605316
210, 491.703, 30, 746651
234, 569.453, 30, 922091
253, 458.047, 30, 852129
231, 698.703, 30, 464604
226, 481.734, 30, 426891
252, 518.734, 30, 432374
227, 426.969, 30, 725405
221, 434.484, 30, 290509
238, 409.469, 30, 436745
253, 602.328, 30, 54399
245, 529.766, 30, 887429
226, 618.344, 30, 95216
248, 574.156, 30, 862879
225, 470.562, 30, 566999
249, 480.156, 30, 685333
211, 386.344, 30, 21499
240, 470.562, 30, 74825
253, 590.531, 30, 591099
255, 682.203, 30, 648550
253, 551.125, 30, 372446
249, 702.547, 30, 528217
229, 570.344, 30, 39385
233, 473.422, 30, 208313
232, 494.766, 30, 16779
238, 410.734, 30, 634745
238, 604.016, 30, 650431
236, 510.453, 30, 770046
223, 585.828, 30, 941140
254, 470.484, 27.3833, 938126
238, 474.922, 30, 361521
238, 481.797, 30, 355344
241, 470.766, 30, 96702
225, 496.281, 30, 244116
229, 591.25, 30, 127860
218, 530.703, 30, 572440
254, 643.453, 30, 728349
227, 486.562, 30, 198147
222, 475.078, 30, 868880
238, 367.984, 30, 556503
255, 691.578, 30, 293877
230, 586.703, 30, 269870
240, 584.828, 30, 424790
191, 421.188, 30, 917008
250, 581.375, 30, 702386
236, 439.766, 30, 600024
245, 622.875, 30, 289452
240, 513.375, 30, 58288
217, 364.859, 30, 506596
228, 417.109, 30, 276396
236, 488.359, 30, 290640
201, 485.172, 30, 817309
227, 541.297, 30, 231944
233, 386.078, 30, 944033
222, 463.453, 30, 866827
250, 490.109, 30, 791562
249, 521.078, 30, 93746
252, 541.469, 30, 311214
252, 547.281, 30, 405513
243, 436.438, 30, 929228
235, 536.797, 30, 774994
228, 800.516, 30, 4611
