Forage: 39, 40, 30, 40, 36, 35, 30, 32, 30, 30
Forage: 35, 46, 36, 38, 38, 37, 33, 34, 29, 29
Forage: 41, 43, 38, 38, 35, 33, 32, 30, 29, 32
Forage: 37, 42, 39, 36, 37, 31, 32, 34, 27, 35
Forage: 32, 40, 41, 41, 32, 36, 35, 35, 31, 26
Forage: 36, 39, 44, 40, 33, 36, 33, 30, 32, 32
Forage: 35, 43, 38, 38, 35, 35, 35, 29, 29, 33
Forage: 39, 40, 38, 36, 38, 35, 37, 31, 32
Forage: 40, 35, 37, 39, 34, 40, 31, 30, 29, 30
Forage: 37, 42, 38, 37, 35, 32, 34, 30, 38, 29
Forage: 36, 42, 38, 38, 36, 34, 34, 33, 32, 28
Forage: 36, 42, 40, 41, 32, 33, 33, 33, 31, 29
Forage: 35, 39, 35, 38, 36, 37, 32, 32, 31, 28
Forage: 35, 42, 41, 40, 28, 36, 35, 30, 31, 33
Forage: 38, 36, 37, 38, 37, 37, 35, 31, 34, 31
Forage: 37, 40, 40, 42, 38, 31, 33, 37, 26, 29
Forage: 38, 39, 38, 34, 38, 33, 31, 35, 28, 27
Forage: 33, 43, 36, 34, 36, 35, 34, 32, 26, 28
Forage: 35, 38, 41, 38, 40, 30, 34, 31, 32, 24
Forage: 38, 35, 42, 39, 33, 35, 31, 33, 33, 33
Forage: 35, 40, 43, 37, 34, 37, 35, 33, 32, 30
Forage: 38, 43, 40, 35, 37, 30, 33, 34, 31, 30
Forage: 40, 44, 34, 42, 36, 35, 29, 32, 30, 30
Forage: 37, 40, 40, 37, 33, 38, 38, 25, 32, 35
Forage: 30, 6, 5, 6, 17, 5, 5, 17, 27, 31, 31, 34, 33, 22, 26, 25, 21
Forage: 34, 42, 35, 39, 36, 34, 35, 31, 32, 32
Forage: 38, 39, 37, 37, 38, 37, 31, 31, 34, 29
Forage: 33, 42, 38, 38, 36, 36, 33, 34, 34, 32
Forage: 31, 39, 39, 36, 35, 36, 35, 36, 32, 28
Forage: 36, 44, 37, 34, 40, 30, 35, 33, 28, 29
