tags_collected, collisions_in_seconds, time_in_minutes, random_seed
444, 117.234, 10, 900030
443, 115.375, 10, 130241
450, 128.203, 10, 542892
456, 121.219, 10, 219752
430, 138.281, 10, 540484
452, 99.7656, 10, 862293
441, 116.734, 10, 350121
436, 119.094, 10, 635614
444, 127.406, 10, 136475
437, 130.641, 10, 470413
429, 115.125, 10, 850889
439, 104.188, 10, 271177
435, 125.281, 10, 573102
439, 114.547, 10, 701417
432, 115.219, 10, 1146
438, 131.703, 10, 355262
447, 124.172, 10, 486794
435, 131.578, 10, 652987
423, 134.641, 10, 749732
426, 127.312, 10, 893914
447, 144.922, 10, 240331
432, 134.312, 10, 394974
443, 98.2656, 10, 821850
446, 111.016, 10, 207093
443, 112.625, 10, 539081
440, 112.656, 10, 844542
448, 112.344, 10, 395574
456, 109.641, 10, 702159
449, 99.9062, 10, 972527
442, 123.203, 10, 215244
