INFO:root:Starting generation: 0
INFO:root:Starting generation: 1
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 15.777312
INFO:root:partial fitness = 5.110453
INFO:root:partial fitness = 6.634886
INFO:root:partial fitness = 23.795885
INFO:root:partial fitness = 4.450738
INFO:root:partial fitness = 9.863384
INFO:root:partial fitness = 5.110453
INFO:root:Starting generation: 2
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 9.530616
INFO:root:partial fitness = 13.365725
INFO:root:partial fitness = 4.450738
INFO:root:partial fitness = 5.110453
INFO:root:partial fitness = 5.110453
INFO:root:partial fitness = 11.802389
INFO:root:partial fitness = 5.102089
INFO:root:partial fitness = 9.530616
INFO:root:partial fitness = 15.851243
INFO:root:partial fitness = 5.270933
INFO:root:partial fitness = 17.212060
INFO:root:partial fitness = 7.861023
INFO:root:partial fitness = 11.780359
INFO:root:partial fitness = 13.274803
INFO:root:partial fitness = 13.274803
INFO:root:partial fitness = 12.877759
INFO:root:Starting generation: 3
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 7.861023
INFO:root:partial fitness = 4.216348
INFO:root:partial fitness = 11.802389
INFO:root:partial fitness = 5.110453
INFO:root:partial fitness = 9.530616
INFO:root:partial fitness = 5.270933
INFO:root:partial fitness = 7.310429
INFO:root:partial fitness = 11.802389
INFO:root:Starting generation: 4
INFO:root:partial fitness = 4.030738
INFO:root:partial fitness = 5.270933
INFO:root:partial fitness = 6.277642
INFO:root:partial fitness = 6.023489
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.216348
INFO:root:partial fitness = 4.551403
INFO:root:partial fitness = 4.978466
INFO:root:partial fitness = 11.802389
INFO:root:partial fitness = 8.369363
INFO:root:partial fitness = 4.290244
INFO:root:partial fitness = 7.310429
INFO:root:partial fitness = 5.764704
INFO:root:partial fitness = 7.314956
INFO:root:partial fitness = 4.978466
INFO:root:partial fitness = 4.193978
INFO:root:Starting generation: 5
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 4.183423
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.978466
INFO:root:partial fitness = 4.551403
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.030738
INFO:root:partial fitness = 5.270933
INFO:root:partial fitness = 6.693325
INFO:root:Starting generation: 6
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 4.049524
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.551403
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 7.011648
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.290244
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.290244
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 4.183423
INFO:root:partial fitness = 4.193978
INFO:root:Starting generation: 7
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 4.030738
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 4.183423
INFO:root:partial fitness = 4.290244
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 4.030738
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 4.193978
INFO:root:Starting generation: 8
INFO:root:partial fitness = 3.960122
INFO:root:partial fitness = 4.030738
INFO:root:partial fitness = 4.030738
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.030738
INFO:root:partial fitness = 4.030738
INFO:root:partial fitness = 3.960122
INFO:root:partial fitness = 4.183423
INFO:root:partial fitness = 4.030738
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.193978
INFO:root:partial fitness = 4.030738
INFO:root:partial fitness = 4.030738
INFO:root:partial fitness = 4.030738
INFO:root:Starting generation: 9
INFO:root:partial fitness = 3.960122
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 3.983211
INFO:root:partial fitness = 3.983211
