Forage: 7, 6, 12, 9, 6, 3, 10, 7, 8, 6
Forage: 6, 9, 8, 8, 13, 5, 8, 6, 9, 10
Forage: 8, 9, 9, 10, 9, 7, 6, 2, 10, 7
Forage: 6, 10, 6, 9, 10, 11, 7, 7, 7, 4
Forage: 5, 8, 9, 5, 7, 9, 5, 10, 5, 6
Forage: 5, 10, 7, 7, 8, 8, 7, 11, 7, 7
Forage: 5, 8, 10, 9, 14, 8, 8, 9, 5, 10
Forage: 7, 6, 7, 8, 8, 8, 10, 7, 7, 9
Forage: 7, 8, 8, 8, 10, 5, 10, 10, 6, 10
Forage: 8, 8, 8, 8, 7, 5, 7, 6, 6, 6
Forage: 5, 7, 11, 8, 6, 7, 8, 7, 7, 6
Forage: 5, 6, 6, 8, 7, 13, 5, 7, 5, 9
Forage: 5, 10, 8, 5, 9, 7, 8, 7, 7, 6
Forage: 8, 7, 6, 6, 10, 7, 10, 6, 8, 4
Forage: 6, 9, 6, 10, 7, 8, 11, 8, 8, 5
Forage: 5, 7, 9, 7, 7, 10, 7, 6, 5, 8
Forage: 5, 6, 9, 5, 6, 8, 9, 7, 9, 6
Forage: 8, 4, 9, 8, 10, 6, 6, 7, 9, 7
Forage: 4, 7, 8, 9, 10, 10, 12, 8, 9, 5
Forage: 6, 4, 11, 9, 10, 7, 5, 6, 6, 7
Forage: 6, 8, 8, 7, 10, 6, 10, 7, 7, 6
Forage: 5, 8, 8, 6, 8, 6, 11, 7, 7, 7
Forage: 7, 10, 8, 9, 7, 8, 8, 8, 6, 8
Forage: 5, 10, 10, 9, 8, 5, 8, 11, 5, 7
Forage: 4, 10, 8, 7, 6, 7, 4, 5, 5, 7
Forage: 8, 5, 11, 8, 10, 8, 7, 8, 8, 7
Forage: 4, 6, 9, 7, 5, 9, 10, 11, 5, 6
Forage: 6, 7, 8, 9, 6, 10, 13, 6, 8, 7
Forage: 6, 10, 8, 12, 8, 9, 7, 7, 9, 7
Forage: 6, 7, 8, 8, 9, 4, 7, 8, 7, 8
