INFO:root:partial fitness = 3.762681
INFO:root:partial fitness = 3.822996
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.869938
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.769239
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.769239
INFO:root:partial fitness = 3.769239
INFO:root:partial fitness = 3.869938
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.769239
INFO:root:Starting generation: 14
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.762681
INFO:root:partial fitness = 3.762681
INFO:root:partial fitness = 3.762681
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.762681
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.762681
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.769239
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.811536
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:Starting generation: 15
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.762681
INFO:root:partial fitness = 3.762681
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.762681
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:Starting generation: 16
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.762681
INFO:root:partial fitness = 3.759565
INFO:root:Starting generation: 17
INFO:root:partial fitness = 3.681618
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.681618
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
