tags_collected, collisions_in_seconds, time_in_minutes, random_seed
217, 471.641, 30, 819088
255, 565.734, 28.825, 56992
241, 397.422, 30, 953690
251, 508, 30, 344568
253, 532.219, 30, 550459
232, 349.656, 30, 923053
232, 562.125, 30, 496369
248, 407.531, 30, 405472
234, 420.672, 30, 150483
234, 335.609, 30, 31083
245, 411.047, 30, 898978
251, 362.219, 30, 125863
205, 341.312, 30, 794049
212, 416.719, 30, 604583
220, 487, 30, 377397
203, 353.359, 30, 399262
248, 416.719, 30, 667912
234, 409.141, 30, 763154
240, 527.938, 30, 892331
247, 479.75, 30, 514426
230, 342.5, 30, 169241
247, 446.797, 30, 145377
233, 417.453, 30, 423882
225, 423.219, 30, 446689
228, 326.047, 30, 116618
249, 436.453, 30, 747555
215, 401.781, 30, 322365
195, 355.031, 30, 819321
224, 347.719, 30, 844757
255, 458.656, 30, 166909
234, 483.172, 30, 738348
247, 575.672, 30, 373224
215, 289.047, 30, 795365
237, 456.219, 30, 316291
237, 435.094, 30, 978141
217, 380.812, 30, 636113
233, 415.375, 30, 172263
239, 387.906, 30, 986666
248, 467.359, 30, 818966
245, 396.203, 30, 918121
192, 365.344, 30, 861697
246, 430.141, 30, 791697
176, 365.078, 30, 607497
212, 344.438, 30, 625496
223, 391.672, 30, 366017
217, 494.094, 30, 33412
239, 434.625, 30, 382754
242, 439.797, 30, 884384
223, 609.578, 30, 368967
228, 376.75, 30, 779505
226, 468.844, 30, 142726
215, 382.5, 30, 36354
230, 518.141, 30, 963751
187, 336.984, 30, 242145
240, 414.406, 30, 816968
255, 478.781, 30, 967912
209, 451.047, 30, 192279
246, 447.703, 30, 906971
203, 402.312, 30, 719458
247, 542.875, 30, 267388
249, 570.406, 30, 366936
253, 436.875, 30, 170013
239, 331.031, 30, 967634
252, 489.609, 30, 594170
246, 434.156, 30, 796418
226, 385.688, 30, 551576
196, 327.422, 30, 269780
249, 476.203, 30, 718563
236, 516.25, 30, 107946
247, 501.094, 30, 234224
193, 387.859, 30, 407107
243, 435.562, 30, 593096
243, 472.594, 30, 747234
224, 456.406, 30, 600155
231, 445.156, 30, 303387
244, 512.656, 30, 303437
253, 583.953, 30, 559168
223, 378.156, 30, 368531
237, 683.5, 30, 567810
237, 482.344, 30, 821045
221, 422.188, 30, 234511
253, 500.875, 30, 805840
248, 430.688, 30, 35482
228, 459.016, 30, 250285
234, 466.672, 30, 763887
241, 452.469, 30, 798768
246, 484.656, 30, 213221
241, 439.922, 30, 813202
226, 331.359, 30, 30069
234, 417.578, 30, 561187
251, 441.484, 30, 179469
241, 583.656, 30, 51991
222, 505.625, 30, 404410
232, 382.703, 30, 455147
221, 319.469, 30, 364759
215, 394.234, 30, 433206
191, 273.375, 30, 807834
227, 323.344, 30, 165235
253, 507.562, 30, 752746
226, 399.438, 30, 483219
