INFO:root:Starting generation: 0
INFO:root:Starting generation: 1
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 10.885152
INFO:root:partial fitness = 25.322305
INFO:root:partial fitness = 6.530254
INFO:root:partial fitness = 13.478919
INFO:root:partial fitness = 6.270324
INFO:root:Starting generation: 2
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 7.542148
INFO:root:partial fitness = 19.780070
INFO:root:partial fitness = 8.078431
INFO:root:partial fitness = 12.818191
INFO:root:partial fitness = 12.817923
INFO:root:Starting generation: 3
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 12.884389
INFO:root:partial fitness = 12.884389
INFO:root:partial fitness = 8.078431
INFO:root:Starting generation: 4
INFO:root:partial fitness = 8.164067
INFO:root:partial fitness = 7.542148
INFO:root:partial fitness = 7.542148
INFO:root:partial fitness = 6.477196
INFO:root:partial fitness = 6.530254
INFO:root:Starting generation: 5
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 6.477196
INFO:root:partial fitness = 7.254298
INFO:root:partial fitness = 5.940236
INFO:root:partial fitness = 5.940236
INFO:root:partial fitness = 6.923014
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 6.923014
INFO:root:partial fitness = 6.477196
INFO:root:partial fitness = 7.590925
INFO:root:partial fitness = 6.816612
INFO:root:partial fitness = 7.360403
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 7.551082
INFO:root:partial fitness = 7.102980
INFO:root:partial fitness = 5.940236
INFO:root:Starting generation: 6
INFO:root:partial fitness = 5.913663
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 6.816612
INFO:root:partial fitness = 6.923014
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 5.913663
INFO:root:partial fitness = 7.139432
INFO:root:partial fitness = 7.139432
INFO:root:Starting generation: 7
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.857251
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 5.857251
INFO:root:partial fitness = 6.617958
INFO:root:partial fitness = 7.102980
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 5.918227
INFO:root:Starting generation: 8
INFO:root:partial fitness = 5.521432
INFO:root:partial fitness = 5.913663
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.913663
INFO:root:partial fitness = 5.913663
INFO:root:partial fitness = 6.476904
INFO:root:partial fitness = 5.913663
INFO:root:Starting generation: 9
INFO:root:partial fitness = 5.521432
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 5.823068
INFO:root:partial fitness = 5.913663
INFO:root:partial fitness = 5.913663
INFO:root:partial fitness = 5.918227
INFO:root:partial fitness = 5.913663
INFO:root:partial fitness = 5.944555
INFO:root:partial fitness = 5.913663
INFO:root:partial fitness = 5.913663
INFO:root:Starting generation: 10
INFO:root:partial fitness = 5.509126
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.687702
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.687702
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.823068
INFO:root:partial fitness = 5.687702
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.913663
INFO:root:Starting generation: 11
INFO:root:partial fitness = 5.509126
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.687702
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.687702
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.687702
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.823068
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.687702
INFO:root:Starting generation: 12
INFO:root:partial fitness = 5.509126
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.687702
INFO:root:partial fitness = 5.687702
INFO:root:partial fitness = 5.687702
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.687702
INFO:root:partial fitness = 5.687702
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.521432
INFO:root:partial fitness = 5.694703
INFO:root:Starting generation: 13
INFO:root:partial fitness = 5.456981
INFO:root:partial fitness = 5.509126
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.687702
INFO:root:partial fitness = 5.509126
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.456981
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.456981
INFO:root:partial fitness = 5.509126
INFO:root:partial fitness = 5.519758
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.687702
INFO:root:partial fitness = 5.509126
INFO:root:partial fitness = 5.655437
INFO:root:partial fitness = 5.687702
INFO:root:partial fitness = 5.519758
INFO:root:partial fitness = 5.456981
INFO:root:partial fitness = 5.687702
INFO:root:partial fitness = 5.694703
INFO:root:Starting generation: 14
INFO:root:partial fitness = 5.456981
INFO:root:partial fitness = 5.565165
INFO:root:partial fitness = 5.694703
INFO:root:partial fitness = 5.509126
INFO:root:partial fitness = 5.509126
INFO:root:partial fitness = 5.456981
INFO:root:partial fitness = 5.607835
INFO:root:partial fitness = 5.509126
INFO:root:partial fitness = 5.456981
INFO:root:partial fitness = 5.509126
INFO:root:partial fitness = 5.456981
INFO:root:partial fitness = 5.521432
INFO:root:partial fitness = 5.456981
INFO:root:partial fitness = 5.509126
INFO:root:partial fitness = 5.655437
INFO:root:partial fitness = 5.509126
INFO:root:partial fitness = 5.655437
INFO:root:partial fitness = 5.694703
