Forage: 43, 76, 71, 74, 79, 78, 73, 72, 97, 102
Forage: 49, 67, 65, 92, 99, 82, 74, 78, 109, 92
Forage: 48, 89, 92, 88, 95, 114, 72, 80, 84, 94
Forage: 42, 70, 75, 73, 89, 80, 104, 93, 79, 82
Forage: 52, 77, 70, 88, 89, 93, 85, 82, 98, 85
Forage: 61, 88, 91, 104, 108, 106, 85, 79, 74, 90
Forage: 38, 79, 91, 89, 77, 76, 101, 85, 97, 77
Forage: 54, 85, 88, 97, 82, 87, 97, 87, 80, 88
Forage: 48, 79, 78, 77, 74, 82, 66, 91, 82, 84
Forage: 48, 83, 94, 79, 88, 71, 90, 101, 91, 94
Forage: 49, 68, 101, 97, 86, 81, 88, 107, 83, 87
Forage: 62, 64, 74, 74, 82, 72, 79, 110, 91, 71
Forage: 60, 75, 82, 114, 89, 81, 93, 91, 89, 95
Forage: 63, 81, 80, 76, 95, 88, 81, 89, 108, 91
Forage: 54, 90, 96, 96, 97, 115, 92, 69, 84, 83
Forage: 53, 88, 87, 80, 77, 104, 87, 73, 72, 89
Forage: 52, 79, 68, 82, 94, 109, 94, 84, 84, 99
Forage: 49, 84, 66, 93, 83, 80, 78, 92, 89, 92
Forage: 54, 86, 95, 89, 92, 77, 75, 94, 89, 85
Forage: 51, 93, 95, 70, 97, 111, 79, 98, 75, 81
Forage: 61, 86, 98, 105, 94, 96, 89, 91, 103, 99
Forage: 48, 92, 79, 82, 88, 82, 107, 106, 85, 96
Forage: 47, 73, 83, 95, 81, 81, 99, 93, 92, 72
Forage: 54, 76, 77, 87, 99, 79, 89, 88, 82, 86
Forage: 36, 83, 75, 82, 91, 83, 71, 76, 78, 75
Forage: 42, 88, 77, 75, 87, 91, 108, 89, 76, 79
Forage: 43, 81, 85, 87, 81, 96, 79, 88, 102, 87
Forage: 44, 99, 107, 80, 104, 87, 90, 85, 77, 80
Forage: 40, 78, 84, 73, 85, 81, 79, 81, 93, 83
Forage: 48, 74, 95, 86, 103, 94, 73, 87, 94, 87
