tags_collected, collisions_in_seconds, time_in_minutes, random_seed
221, -55.25, 10, 308704
236, -59, 10, 444276
210, -52.5, 10, 884002
221, -55.25, 10, 443354
230, -57.5, 10, 202039
226, -56.5, 10, 926145
214, -53.5, 10, 211123
209, -52.25, 10, 830014
205, -51.25, 10, 164412
212, -53, 10, 321224
206, -51.5, 10, 782686
208, -52, 10, 593078
238, -59.5, 10, 366975
222, -55.5, 10, 432124
226, -56.5, 10, 11722
222, -55.5, 10, 456794
212, -53, 10, 124771
223, -55.75, 10, 64932
205, -51.25, 10, 960840
218, -54.5, 10, 792641
227, -56.75, 10, 619599
206, -51.5, 10, 137999
216, -54, 10, 624132
218, -54.5, 10, 458590
217, -54.25, 10, 545281
213, -53.25, 10, 561339
235, -58.75, 10, 671977
215, -53.75, 10, 487318
229, -57.25, 10, 518489
228, -57, 10, 262844
