tags_collected, collisions_in_seconds, time_in_minutes, random_seed
125, -31.25, 10, 860193
119, -29.75, 10, 655352
131, -32.75, 10, 278465
91, -22.75, 10, 702126
105, -26.25, 10, 602182
113, -28.25, 10, 744667
114, -28.5, 10, 644896
109, -27.25, 10, 417069
98, -24.5, 10, 223358
136, -34, 10, 871729
113, -28.25, 10, 500669
160, -40, 10, 467676
105, -26.25, 10, 795793
130, -32.5, 10, 536073
106, -26.5, 10, 62560
112, -28, 10, 51984
106, -26.5, 10, 428804
121, -30.25, 10, 925163
111, -27.75, 10, 262207
154, -38.5, 10, 211131
92, -23, 10, 153728
117, -29.25, 10, 340990
114, -28.5, 10, 614036
124, -31, 10, 332605
98, -24.5, 10, 482448
117, -29.25, 10, 30985
122, -30.5, 10, 253349
131, -32.75, 10, 989067
111, -27.75, 10, 126884
107, -26.75, 10, 30431
