tags_collected, collisions_in_seconds, time_in_minutes, random_seed
73, -18.25, 10, 736410
72, -18, 10, 610807
77, -19.25, 10, 744318
89, -22.25, 10, 704994
83, -20.75, 10, 719427
77, -19.25, 10, 716684
66, -16.5, 10, 605531
71, -17.75, 10, 795286
70, -17.5, 10, 933764
78, -19.5, 10, 6773
73, -18.25, 10, 72518
74, -18.5, 10, 980276
73, -18.25, 10, 181951
73, -18.25, 10, 189267
77, -19.25, 10, 547370
74, -18.5, 10, 639596
73, -18.25, 10, 846768
84, -21, 10, 55289
79, -19.75, 10, 566643
74, -18.5, 10, 766365
81, -20.25, 10, 773621
76, -19, 10, 321995
81, -20.25, 10, 669803
73, -18.25, 10, 666141
74, -18.5, 10, 603799
68, -17, 10, 644236
72, -18, 10, 736489
71, -17.75, 10, 918166
66, -16.5, 10, 298775
78, -19.5, 10, 389715
