tags_collected, collisions_in_seconds, time_in_minutes, random_seed
365, 387.156, 15, 402428
343, 404.578, 15, 988386
380, 488.297, 15, 445245
371, 484.453, 15, 416754
410, 415.844, 12.9005, 290891
291, 326.812, 15, 487502
382, 489.438, 15, 183665
362, 439.016, 15, 225069
363, 446.656, 15, 361356
410, 405.734, 13.7604, 556556
365, 433.781, 15, 742468
352, 424.469, 15, 641501
313, 352.125, 15, 16338
363, 333.625, 15, 499638
377, 464.359, 15, 315676
361, 446.609, 15, 734774
372, 428.641, 15, 95342
322, 334.594, 15, 590734
307, 314.312, 15, 412009
372, 408.453, 15, 147274
410, 404.203, 13.138, 524975
368, 318.625, 15, 20886
365, 418.688, 15, 569236
390, 417.422, 15, 30909
339, 349.328, 15, 318130
299, 258.969, 15, 838646
374, 561.797, 15, 366562
347, 367.594, 15, 450894
301, 374.531, 15, 147397
319, 347.578, 15, 896942
349, 429.594, 15, 749713
328, 401.516, 15, 765436
371, 404.203, 15, 293758
368, 430.578, 15, 501007
338, 453.312, 15, 764129
324, 374.25, 15, 399552
324, 497.906, 15, 849269
376, 438.766, 15, 782723
384, 504.453, 15, 240308
392, 519.922, 15, 208634
410, 480.734, 14.4469, 91910
314, 313.125, 15, 267331
319, 366.594, 15, 794959
331, 391.172, 15, 938040
364, 425.156, 15, 674354
386, 458.672, 15, 163414
410, 438.047, 14.4151, 344262
315, 379.547, 15, 501018
324, 398.734, 15, 894628
374, 443.188, 15, 383887
