Forage: 10, 13, 20, 20, 18, 18, 18, 15, 14, 11, 11, 14, 16, 18, 20
Forage: 4, 9, 18, 21, 18, 15, 18, 19, 15, 18, 24, 19, 18, 19, 15
Forage: 8, 13, 17, 22, 21, 25, 28, 24, 25, 26, 24, 18, 19, 16, 18
Forage: 10, 18, 21, 24, 23, 26, 22, 24, 28, 25, 25, 22, 28, 19, 20
Forage: 8, 18, 24, 22, 20, 30, 28, 25, 35, 30, 30, 26, 29, 19, 25
Forage: 6, 24, 19, 14, 21, 17, 18, 24, 19, 17, 21, 24, 20, 22, 24
Forage: 11, 17, 19, 15, 20, 19, 24, 23, 25, 24, 17, 16, 20, 18, 19
Forage: 4, 9, 12, 19, 23, 20, 21, 22, 20, 24, 28, 18, 16, 15, 16
Forage: 3, 12, 15, 13, 13, 19, 14, 11, 14, 19, 19, 19, 24, 26, 26
Forage: 2, 8, 15, 18, 15, 23, 22, 22, 23, 26, 29, 18, 24, 21, 20
Forage: 14, 23, 28, 25, 28, 31, 30, 41, 35, 24, 23, 23, 24, 16, 20
Forage: 5, 12, 24, 29, 22, 28, 28, 33, 33, 32, 20, 29, 27, 22, 17
Forage: 10, 20, 23, 12, 21, 24, 21, 25, 21, 18, 20, 25, 24, 25, 23
Forage: 12, 20, 17, 21, 19, 19, 20, 18, 20, 22, 26, 22, 23, 20, 17
Forage: 13, 7, 20, 20, 25, 30, 32, 33, 28, 27, 23, 21, 11, 15, 11
Forage: 8, 15, 19, 18, 26, 30, 29, 28, 24, 22, 21, 16, 22, 19, 13
Forage: 2, 12, 18, 24, 29, 24, 26, 30, 22, 27, 19, 15, 20, 16, 20
Forage: 8, 9, 15, 21, 23, 31, 30, 29, 24, 22, 22, 19, 18, 17, 24
Forage: 3, 10, 18, 21, 20, 25, 21, 30, 23, 17, 21, 25, 21, 20, 21
Forage: 10, 15, 16, 17, 19, 22, 22, 18, 30, 30, 21, 16, 23, 22, 22
Forage: 11, 16, 21, 24, 27, 21, 27, 24, 22, 24, 24, 26, 22, 27, 25
Forage: 5, 15, 20, 23, 24, 28, 29, 34, 23, 32, 27, 18, 20, 18, 15
Forage: 5, 18, 20, 22, 16, 20, 23, 22, 31, 26, 26, 23, 24, 21, 21
Forage: 15, 18, 18, 19, 24, 24, 26, 33, 27, 22, 21, 25, 23, 20, 26
Forage: 3, 9, 10, 8, 20, 23, 17, 25, 22, 23, 19, 15, 18, 14, 16
Forage: 4, 14, 13, 21, 27, 40, 29, 27, 27, 22, 24, 24, 19, 17, 21
Forage: 5, 14, 12, 25, 24, 27, 25, 31, 34, 26, 30, 21, 16, 18, 17
Forage: 2, 13, 23, 27, 25, 28, 33, 30, 27, 21, 27, 17, 17, 18, 9
Forage: 13, 14, 25, 18, 21, 19, 19, 15, 13, 17, 15, 20, 18, 19, 17
Forage: 16, 22, 19, 26, 27, 35, 28, 29, 35, 30, 27, 27, 28, 23, 14
Forage: 4, 10, 15, 20, 23, 23, 23, 32, 31, 25, 20, 26, 22, 25, 24
Forage: 1, 15, 14, 24, 26, 25, 31, 32, 25, 24, 31, 35, 30, 25, 23
Forage: 16, 23, 25, 19, 22, 25, 22, 18, 19, 13, 17, 21, 24, 27, 26
Forage: 3, 10, 14, 20, 27, 25, 34, 32, 31, 24, 26, 23, 27, 27, 20
Forage: 5, 10, 15, 18, 17, 20, 16, 20, 11, 13, 17, 19, 21, 13, 10
Forage: 12, 22, 20, 26, 19, 20, 21, 23, 16, 13, 11, 15, 11, 15, 15
Forage: 7, 11, 15, 23, 18, 25, 19, 24, 22, 25, 25, 17, 14, 13, 17
Forage: 13, 20, 25, 19, 21, 28, 29, 22, 19, 17, 15, 13, 16, 15, 11
Forage: 3, 12, 20, 16, 18, 14, 14, 21, 22, 24, 19, 21, 23, 22, 21
Forage: 12, 14, 14, 20, 16, 17, 18, 21, 18, 18, 16, 18, 18, 20, 19
Forage: 12, 19, 22, 30, 29, 28, 27, 23, 20, 25, 29, 32, 27, 20, 25
Forage: 16, 20, 25, 20, 22, 27, 26, 19, 20, 20, 16, 25, 25, 24, 15
Forage: 7, 20, 16, 16, 17, 18, 24, 15, 17, 16, 24, 23, 28, 24, 28
Forage: 11, 9, 17, 16, 20, 25, 29, 25, 26, 25, 32, 23, 29, 25, 28
Forage: 15, 19, 25, 28, 19, 24, 18, 17, 22, 22, 16, 18, 14, 14, 17
Forage: 4, 12, 14, 19, 17, 14, 11, 16, 20, 19, 21, 16, 18, 19, 12
Forage: 15, 16, 28, 26, 31, 31, 27, 27, 22, 25, 17, 26, 11, 12, 19
Forage: 5, 16, 19, 17, 18, 19, 16, 12, 20, 22, 23, 26, 18, 16, 25
Forage: 5, 13, 21, 21, 19, 20, 19, 23, 24, 31, 23, 21, 17, 19, 13
Forage: 9, 15, 18, 31, 24, 30, 29, 25, 20, 25, 18, 15, 18, 18, 20
